id,type,estate_product,property_cost_method,create_uid/id,create_date,property_account_expense_categ_id/id,removal_strategy_id/id,property_account_income_categ_id/id,property_valuation,write_uid/id,write_date,parent_left,name,parent_id/id,property_account_creditor_price_difference_categ/id,parent_right,route_ids/id,sequence,property_stock_account_input_categ_id/id,property_stock_journal/id,property_stock_account_output_categ_id/id,property_stock_valuation_account_id/id
product_product_category_pg_06_a4,Normal,True,Standard Price,base.user_root,2016-09-01 06:31:45,,,,Periodic (manual),base.user_root,2016-09-01 06:31:45,16,Jasa,product_product_category_pg_06,,17,,0,,,,
product_product_category_pg_06_a5,Normal,True,Standard Price,base.user_root,2016-09-01 06:31:45,,,,Periodic (manual),base.user_root,2016-09-01 06:31:45,16,Rental,product_product_category_pg_06,,17,,0,,,,
product_product_category_pg_07,Normal,True,Standard Price,base.user_root,2016-09-01 06:31:45,,,,Periodic (manual),base.user_root,2016-09-01 06:31:45,16,Obat dan medis,product_product_category_pg,,17,,0,,,,
product_product_category_pg_07_a7,Normal,True,Standard Price,base.user_root,2016-09-01 06:31:45,,,,Periodic (manual),base.user_root,2016-09-01 06:31:45,16,Peralatan Medis,product_product_category_pg_07,,17,,0,,,,
product_product_category_pg_08,Normal,True,Standard Price,base.user_root,2016-09-01 06:31:45,,,,Periodic (manual),base.user_root,2016-09-01 06:31:45,16,Umum,product_product_category_pg,,17,,0,,,,
product_product_category_pg_08_a1,Normal,True,Standard Price,base.user_root,2016-09-01 06:31:45,,,,Periodic (manual),base.user_root,2016-09-01 06:31:45,16,"Environtment,Health and Safety",product_product_category_pg_08,,17,,0,,,,
product_product_category_pg_08_a2,Normal,True,Standard Price,base.user_root,2016-09-01 06:31:45,,,,Periodic (manual),base.user_root,2016-09-01 06:31:45,16,Chemical Cleaning,product_product_category_pg_08,,17,,0,,,,
product_product_category_pg_09,Normal,True,Standard Price,base.user_root,2016-09-01 06:31:45,,,,Periodic (manual),base.user_root,2016-09-01 06:31:45,16,ICT,product_product_category_pg,,17,,0,,,,
product_product_category_pg_09_a1,Normal,True,Standard Price,base.user_root,2016-09-01 06:31:45,,,,Periodic (manual),base.user_root,2016-09-01 06:31:45,16,Dekstop,product_product_category_pg_09,,17,,0,,,,
product_product_category_pg_09_b2,Normal,True,Standard Price,base.user_root,2016-09-01 06:31:45,,,,Periodic (manual),base.user_root,2016-09-01 06:31:45,16,Service,product_product_category_pg_09,,17,,0,,,,
product_product_category_pg_09_a2,Normal,True,Standard Price,base.user_root,2016-09-01 06:31:45,,,,Periodic (manual),base.user_root,2016-09-01 06:31:45,16,Notebook and Mobile,product_product_category_pg_09,,17,,0,,,,
product_product_category_pg_09_a3,Normal,True,Standard Price,base.user_root,2016-09-01 06:31:45,,,,Periodic (manual),base.user_root,2016-09-01 06:31:45,16,Equipment and Supplies (Umum),product_product_category_pg_09,,17,,0,,,,
product_product_category_pg_09_a4,Normal,True,Standard Price,base.user_root,2016-09-01 06:31:45,,,,Periodic (manual),base.user_root,2016-09-01 06:31:45,16,Network Equipment,product_product_category_pg_09,,17,,0,,,,
product_product_category_pg_09_a5,Normal,True,Standard Price,base.user_root,2016-09-01 06:31:45,,,,Periodic (manual),base.user_root,2016-09-01 06:31:45,16,Communication Equipment,product_product_category_pg_09,,17,,0,,,,
product_product_category_pg_09_a6,Normal,True,Standard Price,base.user_root,2016-09-01 06:31:45,,,,Periodic (manual),base.user_root,2016-09-01 06:31:45,16,"Printer, Plotter dan Scanner",product_product_category_pg_09,,17,,0,,,,
product_product_category_pg_09_a7,Normal,True,Standard Price,base.user_root,2016-09-01 06:31:45,,,,Periodic (manual),base.user_root,2016-09-01 06:31:45,16,"Server, Storage and Accessories",product_product_category_pg_09,,17,,0,,,,
