"id","active","barcode","purchase_ok","rental","sale_ok","route_from_categ_ids/id","color","company_id/id","purchase_method","standard_price","property_cost_method","create_uid/id","create_date","sale_delay","taxes_id/id","description","description_picking","property_account_expense_id/id","weight","property_account_income_id/id","categ_id/id","default_code","property_stock_inventory/id","property_valuation","invoice_policy","message_last_post","write_uid/id","write_date","location_id/id","name","part_number","price","property_account_creditor_price_difference/id","pricelist_id/id","property_stock_procurement/id","product_manager/id","type","property_stock_production/id","lst_price","description_purchase","uom_po_id/id","route_ids/id","description_sale","list_price","seed","variety_id/id","sequence","image_small","state","property_stock_account_input/id","property_stock_account_output/id","track_service","tracking","type_computing","type_machine","type_tools","type_vehicle","uom_id/id","supplier_taxes_id/id","volume","warehouse_id/id","warranty"
"product.product_product_91_product_template","True","","True","False","True","","0","base.main_company","On received quantities","12485000","","base.user_root","2016-09-01 06:29:18","7.0","","","","","0.0","","product.product_category_2","Lenovo S230U","stock.location_inventory","","Delivered quantities","","base.user_root","2016-09-01 07:46:44","","3C.2014.001-HP Pro 3330 MT","","0.0","","","stock.location_procurement","","product","stock.location_production","250.0","","product.product_uom_unit","","","250.0","False","","1","","","","","Manually set quantities on order","No Tracking","True","False","False","False","product.product_uom_unit","","0.0","","0.0"
"product.product_product_92_product_template","True","","True","False","True","","0","base.main_company","On received quantities","8904500","","base.user_root","2016-09-01 06:29:18","7.0","","","","","0.0","","product.product_category_2","Dell Vostro 5470","stock.location_inventory","","Delivered quantities","","base.user_root","2016-09-01 07:46:44","","3C.2014.001-HP Pro 3330 MT","","0.0","","","stock.location_procurement","","product","stock.location_production","250.0","","product.product_uom_unit","","","250.0","False","","1","","","","","Manually set quantities on order","No Tracking","True","False","False","False","product.product_uom_unit","","0.0","","0.0"
"product.product_product_93_product_template","True","","True","False","True","","0","base.main_company","On received quantities","8395000","","base.user_root","2016-09-01 06:29:18","7.0","","","","","0.0","","product.product_category_2","Lenovo E430","stock.location_inventory","","Delivered quantities","","base.user_root","2016-09-01 07:46:44","","3C.2014.001-HP Pro 3330 MT","","0.0","","","stock.location_procurement","","product","stock.location_production","250.0","","product.product_uom_unit","","","250.0","False","","1","","","","","Manually set quantities on order","No Tracking","True","False","False","False","product.product_uom_unit","","0.0","","0.0"
"product.product_product_94_product_template","True","","True","False","True","","0","base.main_company","On received quantities","5060000","","base.user_root","2016-09-01 06:29:18","7.0","","","","","0.0","","product.product_category_2","Dell Inspiron 14R 3421","stock.location_inventory","","Delivered quantities","","base.user_root","2016-09-01 07:46:44","","3C.2014.001-HP Pro 3330 MT","","0.0","","","stock.location_procurement","","product","stock.location_production","250.0","","product.product_uom_unit","","","250.0","False","","1","","","","","Manually set quantities on order","No Tracking","True","False","False","False","product.product_uom_unit","","0.0","","0.0"
"product.product_product_95_product_template","True","","True","False","True","","0","base.main_company","On received quantities","4750000","","base.user_root","2016-09-01 06:29:18","7.0","","","","","0.0","","product.product_category_2","Lenovo B490","stock.location_inventory","","Delivered quantities","","base.user_root","2016-09-01 07:46:44","","3C.2014.001-HP Pro 3330 MT","","0.0","","","stock.location_procurement","","product","stock.location_production","250.0","","product.product_uom_unit","","","250.0","False","","1","","","","","Manually set quantities on order","No Tracking","True","False","False","False","product.product_uom_unit","","0.0","","0.0"
"product.product_product_96_product_template","True","","True","False","True","","0","base.main_company","On received quantities","5050000","","base.user_root","2016-09-01 06:29:18","7.0","","","","","0.0","","product.product_category_2","Lenovo B490","stock.location_inventory","","Delivered quantities","","base.user_root","2016-09-01 07:46:44","","3C.2014.001-HP Pro 3330 MT","","0.0","","","stock.location_procurement","","product","stock.location_production","250.0","","product.product_uom_unit","","","250.0","False","","1","","","","","Manually set quantities on order","No Tracking","True","False","False","False","product.product_uom_unit","","0.0","","0.0"
"product.product_product_97_product_template","True","","True","False","True","","0","base.main_company","On received quantities","12000000","","base.user_root","2016-09-01 06:29:18","7.0","","","","","0.0","","product.product_category_2","Lenovo S230U","stock.location_inventory","","Delivered quantities","","base.user_root","2016-09-01 07:46:44","","3C.2014.001-HP Pro 3330 MT","","0.0","","","stock.location_procurement","","product","stock.location_production","250.0","","product.product_uom_unit","","","250.0","False","","1","","","","","Manually set quantities on order","No Tracking","True","False","False","False","product.product_uom_unit","","0.0","","0.0"
"product.product_product_98_product_template","True","","True","False","True","","0","base.main_company","On received quantities","7300000","","base.user_root","2016-09-01 06:29:18","7.0","","","","","0.0","","product.product_category_2","Lenovo E431","stock.location_inventory","","Delivered quantities","","base.user_root","2016-09-01 07:46:44","","3C.2014.001-HP Pro 3330 MT","","0.0","","","stock.location_procurement","","product","stock.location_production","250.0","","product.product_uom_unit","","","250.0","False","","1","","","","","Manually set quantities on order","No Tracking","True","False","False","False","product.product_uom_unit","","0.0","","0.0"
"product.product_product_99_product_template","True","","True","False","True","","0","base.main_company","On received quantities","10670000","","base.user_root","2016-09-01 06:29:18","7.0","","","","","0.0","","product.product_category_2","Lenovo T430","stock.location_inventory","","Delivered quantities","","base.user_root","2016-09-01 07:46:44","","3C.2014.001-HP Pro 3330 MT","","0.0","","","stock.location_procurement","","product","stock.location_production","250.0","","product.product_uom_unit","","","250.0","False","","1","","","","","Manually set quantities on order","No Tracking","True","False","False","False","product.product_uom_unit","","0.0","","0.0"
"product.product_product_100_product_template","True","","True","False","True","","0","base.main_company","On received quantities","10670000","","base.user_root","2016-09-01 06:29:18","7.0","","","","","0.0","","product.product_category_2","Lenovo T430","stock.location_inventory","","Delivered quantities","","base.user_root","2016-09-01 07:46:44","","3C.2014.001-HP Pro 3330 MT","","0.0","","","stock.location_procurement","","product","stock.location_production","250.0","","product.product_uom_unit","","","250.0","False","","1","","","","","Manually set quantities on order","No Tracking","True","False","False","False","product.product_uom_unit","","0.0","","0.0"
"product.product_product_101_product_template","True","","True","False","True","","0","base.main_company","On received quantities","10670000","","base.user_root","2016-09-01 06:29:18","7.0","","","","","0.0","","product.product_category_2","Lenovo T430","stock.location_inventory","","Delivered quantities","","base.user_root","2016-09-01 07:46:44","","3C.2014.001-HP Pro 3330 MT","","0.0","","","stock.location_procurement","","product","stock.location_production","250.0","","product.product_uom_unit","","","250.0","False","","1","","","","","Manually set quantities on order","No Tracking","True","False","False","False","product.product_uom_unit","","0.0","","0.0"
"product.product_product_102_product_template","True","","True","False","True","","0","base.main_company","On received quantities","10670000","","base.user_root","2016-09-01 06:29:18","7.0","","","","","0.0","","product.product_category_2","Lenovo T430","stock.location_inventory","","Delivered quantities","","base.user_root","2016-09-01 07:46:44","","3C.2014.001-HP Pro 3330 MT","","0.0","","","stock.location_procurement","","product","stock.location_production","250.0","","product.product_uom_unit","","","250.0","False","","1","","","","","Manually set quantities on order","No Tracking","True","False","False","False","product.product_uom_unit","","0.0","","0.0"
"product.product_product_103_product_template","True","","True","False","True","","0","base.main_company","On received quantities","10670000","","base.user_root","2016-09-01 06:29:18","7.0","","","","","0.0","","product.product_category_2","Lenovo T430","stock.location_inventory","","Delivered quantities","","base.user_root","2016-09-01 07:46:44","","3C.2014.001-HP Pro 3330 MT","","0.0","","","stock.location_procurement","","product","stock.location_production","250.0","","product.product_uom_unit","","","250.0","False","","1","","","","","Manually set quantities on order","No Tracking","True","False","False","False","product.product_uom_unit","","0.0","","0.0"
"product.product_product_104_product_template","True","","True","False","True","","0","base.main_company","On received quantities","10670000","","base.user_root","2016-09-01 06:29:18","7.0","","","","","0.0","","product.product_category_2","Lenovo T430","stock.location_inventory","","Delivered quantities","","base.user_root","2016-09-01 07:46:44","","3C.2014.001-HP Pro 3330 MT","","0.0","","","stock.location_procurement","","product","stock.location_production","250.0","","product.product_uom_unit","","","250.0","False","","1","","","","","Manually set quantities on order","No Tracking","True","False","False","False","product.product_uom_unit","","0.0","","0.0"
"product.product_product_105_product_template","True","","True","False","True","","0","base.main_company","On received quantities","8150000","","base.user_root","2016-09-01 06:29:18","7.0","","","","","0.0","","product.product_category_2","Dell Vostro 5470","stock.location_inventory","","Delivered quantities","","base.user_root","2016-09-01 07:46:44","","3C.2014.001-HP Pro 3330 MT","","0.0","","","stock.location_procurement","","product","stock.location_production","250.0","","product.product_uom_unit","","","250.0","False","","1","","","","","Manually set quantities on order","No Tracking","True","False","False","False","product.product_uom_unit","","0.0","","0.0"
"product.product_product_106_product_template","True","","True","False","True","","0","base.main_company","On received quantities","30200000","","base.user_root","2016-09-01 06:29:18","7.0","","","","","0.0","","product.product_category_2","Xenom Hercules HC15C-DL11 CTO","stock.location_inventory","","Delivered quantities","","base.user_root","2016-09-01 07:46:44","","3C.2014.001-HP Pro 3330 MT","","0.0","","","stock.location_procurement","","product","stock.location_production","250.0","","product.product_uom_unit","","","250.0","False","","1","","","","","Manually set quantities on order","No Tracking","True","False","False","False","product.product_uom_unit","","0.0","","0.0"
"product.product_product_107_product_template","True","","True","False","True","","0","base.main_company","On received quantities","8190000","","base.user_root","2016-09-01 06:29:18","7.0","","","","","0.0","","product.product_category_2","Dell Inspiron 14R 5437","stock.location_inventory","","Delivered quantities","","base.user_root","2016-09-01 07:46:44","","3C.2014.001-HP Pro 3330 MT","","0.0","","","stock.location_procurement","","product","stock.location_production","250.0","","product.product_uom_unit","","","250.0","False","","1","","","","","Manually set quantities on order","No Tracking","True","False","False","False","product.product_uom_unit","","0.0","","0.0"
"product.product_product_108_product_template","True","","True","False","True","","0","base.main_company","On received quantities","","","base.user_root","2016-09-01 06:29:18","7.0","","","","","0.0","","product.product_category_2","Lenovo Y470","stock.location_inventory","","Delivered quantities","","base.user_root","2016-09-01 07:46:44","","3C.2014.001-HP Pro 3330 MT","","0.0","","","stock.location_procurement","","product","stock.location_production","250.0","","product.product_uom_unit","","","250.0","False","","1","","","","","Manually set quantities on order","No Tracking","True","False","False","False","product.product_uom_unit","","0.0","","0.0"
"product.product_product_109_product_template","True","","True","False","True","","0","base.main_company","On received quantities","","","base.user_root","2016-09-01 06:29:18","7.0","","","","","0.0","","product.product_category_2","Lenovo IdeaPad Z460","stock.location_inventory","","Delivered quantities","","base.user_root","2016-09-01 07:46:44","","3C.2014.001-HP Pro 3330 MT","","0.0","","","stock.location_procurement","","product","stock.location_production","250.0","","product.product_uom_unit","","","250.0","False","","1","","","","","Manually set quantities on order","No Tracking","True","False","False","False","product.product_uom_unit","","0.0","","0.0"
"product.product_product_110_product_template","True","","True","False","True","","0","base.main_company","On received quantities","","","base.user_root","2016-09-01 06:29:18","7.0","","","","","0.0","","product.product_category_2","Lenovo V 470c","stock.location_inventory","","Delivered quantities","","base.user_root","2016-09-01 07:46:44","","3C.2014.001-HP Pro 3330 MT","","0.0","","","stock.location_procurement","","product","stock.location_production","250.0","","product.product_uom_unit","","","250.0","False","","1","","","","","Manually set quantities on order","No Tracking","True","False","False","False","product.product_uom_unit","","0.0","","0.0"
"product.product_product_111_product_template","True","","True","False","True","","0","base.main_company","On received quantities","","","base.user_root","2016-09-01 06:29:18","7.0","","","","","0.0","","product.product_category_2","Lenovo V 470c","stock.location_inventory","","Delivered quantities","","base.user_root","2016-09-01 07:46:44","","3C.2014.001-HP Pro 3330 MT","","0.0","","","stock.location_procurement","","product","stock.location_production","250.0","","product.product_uom_unit","","","250.0","False","","1","","","","","Manually set quantities on order","No Tracking","True","False","False","False","product.product_uom_unit","","0.0","","0.0"
"product.product_product_112_product_template","True","","True","False","True","","0","base.main_company","On received quantities","5100000","","base.user_root","2016-09-01 06:29:18","7.0","","","","","0.0","","product.product_category_2","Dell Inspiron 14R 3421","stock.location_inventory","","Delivered quantities","","base.user_root","2016-09-01 07:46:44","","3C.2014.001-HP Pro 3330 MT","","0.0","","","stock.location_procurement","","product","stock.location_production","250.0","","product.product_uom_unit","","","250.0","False","","1","","","","","Manually set quantities on order","No Tracking","True","False","False","False","product.product_uom_unit","","0.0","","0.0"
"product.product_product_113_product_template","True","","True","False","True","","0","base.main_company","On received quantities","10670000","","base.user_root","2016-09-01 06:29:18","7.0","","","","","0.0","","product.product_category_2","Lenovo T430","stock.location_inventory","","Delivered quantities","","base.user_root","2016-09-01 07:46:44","","3C.2014.001-HP Pro 3330 MT","","0.0","","","stock.location_procurement","","product","stock.location_production","250.0","","product.product_uom_unit","","","250.0","False","","1","","","","","Manually set quantities on order","No Tracking","True","False","False","False","product.product_uom_unit","","0.0","","0.0"
"product.product_product_114_product_template","True","","True","False","True","","0","base.main_company","On received quantities","10670000","","base.user_root","2016-09-01 06:29:18","7.0","","","","","0.0","","product.product_category_2","Lenovo T430","stock.location_inventory","","Delivered quantities","","base.user_root","2016-09-01 07:46:44","","3C.2014.001-HP Pro 3330 MT","","0.0","","","stock.location_procurement","","product","stock.location_production","250.0","","product.product_uom_unit","","","250.0","False","","1","","","","","Manually set quantities on order","No Tracking","True","False","False","False","product.product_uom_unit","","0.0","","0.0"
"product.product_product_115_product_template","True","","True","False","True","","0","base.main_company","On received quantities","10670000","","base.user_root","2016-09-01 06:29:18","7.0","","","","","0.0","","product.product_category_2","Lenovo T430","stock.location_inventory","","Delivered quantities","","base.user_root","2016-09-01 07:46:44","","3C.2014.001-HP Pro 3330 MT","","0.0","","","stock.location_procurement","","product","stock.location_production","250.0","","product.product_uom_unit","","","250.0","False","","1","","","","","Manually set quantities on order","No Tracking","True","False","False","False","product.product_uom_unit","","0.0","","0.0"
"product.product_product_116_product_template","True","","True","False","True","","0","base.main_company","On received quantities","6150000","","base.user_root","2016-09-01 06:29:18","7.0","","","","","0.0","","product.product_category_2","Lenovo E430","stock.location_inventory","","Delivered quantities","","base.user_root","2016-09-01 07:46:44","","3C.2014.001-HP Pro 3330 MT","","0.0","","","stock.location_procurement","","product","stock.location_production","250.0","","product.product_uom_unit","","","250.0","False","","1","","","","","Manually set quantities on order","No Tracking","True","False","False","False","product.product_uom_unit","","0.0","","0.0"
