"id","code","name","parent_id/id","uom_id/id","standard_price","piece_rate_price","type","wage_method","qty_base","qty_base_max","qty_base_min","activity_type","comment"
"estate.activity_85","10078","Pembuatan Teresan ","estate.activity_80","product.product_uom_meter",107.142857,,"normal","standard",700,700,700,"estate","1 HK dapat mengcover 1 alat, dimana output alat = 700 mtr/hari"
"estate.activity_86","10079","Pembuatan Planting Pocket ","estate.activity_80","product.product_uom_unit",500,,"normal","standard",150,150,150,"estate","1 HK dapat mengcover 1 alat, dimana output alat = 150 unit/hari"
"estate.activity_87","10080","Pembuatan Tapak Kuda ","estate.activity_80","product.product_uom_unit",25000,,"normal","standard",3,3,3,"estate","1 HK dapat mengcover 3 unit"
"estate.activity_88","10081","Pembuatan Bumbunan ","estate.activity_80","product.product_uom_unit",15000,,"normal","standard",5,5,5,"estate","1 HK dapat mengcover 5 unit"
"estate.activity_89","10082","Pembuatan Benteng Rorak ","estate.activity_80","product.product_uom_unit",15000,,"normal","standard",5,5,5,"estate","1 HK dapat mengcover 5 unit"
"estate.activity_90","10083","Pembuatan Bendungan ","estate.activity_80","product.product_uom_unit",37500,,"normal","standard",2,,,"estate","1 HK dapat mengcover 2 unit"
"estate.activity_91","10084","Pembuatan Pintu Air ","estate.activity_80","product.product_uom_unit",750000,,"normal","standard",0.1,0.1,0.1,"estate","10 HK dapat mengcover 1 unit"
"estate.activity_92","10085","Penanaman Kacangan ","estate.activity_55",,,,"view",,,,,"estate",
"estate.activity_93","10086","Semprot Lalang","estate.activity_92","estate.product_uom_hectare",225000,,"normal","standard",0.333333,0.333333,0.285714,"estate","3 HK dapat mengcover 1 Ha"
"estate.activity_94","10087","Semprot Anak Kayu & Pakis","estate.activity_92","estate.product_uom_hectare",150000,,"normal","standard",0.5,0.5,0.4,"estate","2 HK dapat mengcover 1 Ha"
"estate.activity_95","10088","Penanaman Kacangan Mb","estate.activity_92","estate.product_uom_hectare",225000,,"normal","standard",0.333333,0.333333,0.333333,"estate","3 HK dapat mengcover 1 Ha"
"estate.activity_96","10089","Penanaman Kacangan Selain Mb","estate.activity_92","estate.product_uom_hectare",150000,,"normal","standard",0.5,0.5,0.4,"estate","2 HK dapat mengcover 1 Ha"
"estate.activity_97","10090","Pemupukan Kacangan","estate.activity_92","estate.product_uom_hectare",75000,,"normal","standard",1,1,0.666667,"estate","1 HK dapat mengcover 1 Ha (setara dengan 300 kg)"
"estate.activity_98","10091","Penyiangan Gulma/dangir Kacangan","estate.activity_92","estate.product_uom_hectare",350002.5,,"normal","standard",0.214284,0.214284,0.214284,"estate","4 HK dapat mengcover 1 Ha"
"estate.activity_99","10092","Penanaman Kelapa Sawit ","estate.activity_55",,,,"view",,,,,"estate",
"estate.activity_100","10093","Memancang","estate.activity_99","estate.product_uom_hectare",150000,,"normal","standard",0.5,0.5,0.5,"estate","2 HK dapat mengcover 1 Ha"
"estate.activity_101","10094","Lubang Tanam Manual","estate.activity_99","estate.product_uom_lubang",2622.377622,,"normal","standard",28.6,28.6,28.6,"estate","5 HK dapat mengcover 1 Ha (5 HK untuk 145 Lubang)"
"estate.activity_102","10095","Lubang Tanam Mekanis","estate.activity_99","estate.product_uom_lubang",83.333333,,"normal","standard",900,900,900,"estate","1 HK dapat mengcover  1 alat (1 alat = 900 lubang)"
"estate.activity_103","10096","Penguntilan Pupuk","estate.activity_99","product.product_uom_kgm",375,,"normal","standard",200,200,200,"estate","1 HK dapat mengcover 200 Kg"
"estate.activity_104","10097","Pemupukan Lobang Tanam","estate.activity_99","estate.product_uom_lubang",206.896552,,"normal","standard",362.5,362.5,290,"estate","1 HK dapat memupuk 2-2,5 Ha"
"estate.activity_107","10098","Transport & Eceran Bibit","estate.activity_99","estate.product_uom_bibit",1048.951049,,"normal","standard",71.5,71.5,60,"estate","2 HK dapat mengecer 1 Ha (2 HK untuk 145 Bibit)"
"estate.activity_108","10099","Penanaman Bibit","estate.activity_99","estate.product_uom_lubang",2622.377622,,"normal","standard",28.6,28.6,28.6,"estate","5 HK dapat mengcover 1 Ha (5 HK untuk 145 Lubang)"
"estate.activity_109","10100","Merumput ","estate.activity_55",,,,"view",,,,,"estate",
"estate.activity_110","10101","Garuk Piringan & Tarik Goloran","estate.activity_109","estate.product_uom_hectare",187500,,"normal","standard",0.4,0.4,0.4,"estate","2 HK dapat mengcover 1 Ha"
"estate.activity_111","10102","Semprot Piringan/Psr Pikul/Tph","estate.activity_109","estate.product_uom_hectare",25000,,"normal","standard",3,3,2.5,"estate","1 HK dapat mengcover 3 Ha (1 HK untuk 3 Ha)"
"estate.activity_112","10103","Semprot Gawangan","estate.activity_109","estate.product_uom_hectare",112500,,"normal","standard",0.666667,0.666667,0.5,"estate","1,5 HK dapat mengcover 1 Ha"
"estate.activity_113","10104","Dongkel Anak Kayu","estate.activity_109","estate.product_uom_hectare",150000,,"normal","standard",0.5,0.5,0.5,"estate","2 HK dapat mengcover 1 Ha"
"estate.activity_114","10105","Pengendalian Alang-Alang ","estate.activity_55",,,,"view",,,,,"estate",
"estate.activity_115","10106","Semprot Sheet","estate.activity_114","estate.product_uom_hectare",300000,,"normal","standard",0.25,0.25,0.2,"estate","4 HK dapat mengcover 1 Ha"
