"id","code","name","parent_id/id","uom_id/id","standard_price","piece_rate_price","type","wage_method","qty_base","qty_base_max","qty_base_min","activity_type","comment"
"estate.activity_153","10144","Penyisipan","estate.activity_152","estate.product_uom_pokok",5000,,"normal","standard",15,15,10,"estate","1 HK menyisip 15 pokok"
"estate.activity_154","10145","Konsolidasi","estate.activity_152","estate.product_uom_pokok",7500,,"normal","standard",10,10,6,"estate","1 HK menyisip 10 pokok"
"estate.activity_155","10146","Pemeliharaan Parit / Teresan / Tapak Kuda ","estate.activity_55",,,,"view",,,,,"estate",
"estate.activity_156","10147","Pencucian Parit Field","estate.activity_155","product.product_uom_meter",1500,,"normal","standard",50,50,50,"estate","1 HK mengcover 50 m)"
"estate.activity_157","10148","Semprot Pinggir Parit","estate.activity_155","product.product_uom_meter",37.5,,"normal","standard",2000,2000,2000,"estate","1 HK menyemprot 2000 Mtr pinggir parit ( lebar 2,5 kiri kanan parit)"
"estate.activity_158","10149","Pemeliharaan/Rehab Teresan","estate.activity_155","product.product_uom_meter",750,,"normal","standard",100,100,100,"estate","1 HK dapat mengcover 100 meter"
"estate.activity_159","10150","Pemeliharaan Planting Pocket","estate.activity_155","product.product_uom_unit",7500,,"normal","standard",10,10,10,"estate","1 HK dapat mengcover 10 unit"
"estate.activity_160","10151","Pemeliharaan/Rehab Tapak Kuda","estate.activity_155","product.product_uom_unit",7500,,"normal","standard",10,10,10,"estate","1 HK dapat mengcover 10 unit"
"estate.activity_161","10152","Pemeliharaan/Rehab Bumbunan","estate.activity_155","product.product_uom_unit",5000,,"normal","standard",15,15,15,"estate","1 HK dapat mengcover 15 unit"
"estate.activity_162","10153","Pemeliharaan/Rehab Benteng Rorak","estate.activity_155","product.product_uom_unit",3750,,"normal","standard",20,20,20,"estate","1 HK dapat mengcover 20 unit"
"estate.activity_163","10154","Pemeliharaan/Rehab Bendungan","estate.activity_155","product.product_uom_unit",15000,,"normal","standard",5,5,5,"estate","1 HK dapat mengcover 5 unit"
"estate.activity_164","10155","Pemeliharaan/Rehab Pintu Air","estate.activity_155","product.product_uom_unit",1875000,,"normal","standard",0.04,0.04,0.04,"estate","25 HK untuk menjaga 1 pintu air selama sebulan (waktu efektif untuk menjaga pada musim hujan = 6 bulan)"
"estate.activity_165","10156","Pemeliharaan Jalan / Jembatan, Titi Panen ","estate.activity_55",,,,"view",,,,,"estate",
"estate.activity_166","10157","Pemeliharaan Access Road Manual","estate.activity_165","product.product_uom_meter",125,,"normal","standard",600,600,500,"estate","1 HK dapat mengcover 600 meter"
"estate.activity_167","10158","Penimbunan Access Road","estate.activity_165","product.product_uom_meter",150,,"normal","standard",500,500,500,"estate","1 HK dapat mengcover 500 meter"
"estate.activity_168","10159","Pengerasan Access Road Mekanis (Sirtu)","estate.activity_165","product.product_uom_meter",75,,"normal","standard",1000,1000,1000,"estate","1 HK dapat mengcover 1000 meter"
"estate.activity_170","10160","Pemeliharaan Main Road Manual","estate.activity_165","product.product_uom_meter",125,,"normal","standard",600,600,500,"estate","1 HK dapat mengcover 600 meter"
"estate.activity_171","10161","Penimbunan Main Road","estate.activity_165","product.product_uom_meter",150,,"normal","standard",500,500,500,"estate","1 HK dapat mengcover 500 meter"
"estate.activity_172","10162","Pengerasan Main Road Mekanis (Sirtu)","estate.activity_165","product.product_uom_meter",75,,"normal","standard",1000,1000,1000,"estate","1 HK dapat mengcover 1000 meter"
"estate.activity_174","10163","Pemeliharaan Collection Road Manual","estate.activity_165","product.product_uom_meter",75,,"normal","standard",1000,1000,800,"estate","1 HK dapat mengcover 1000 meter"
"estate.activity_175","10164","Penimbunan Collection Road","estate.activity_165","product.product_uom_meter",150,,"normal","standard",500,500,500,"estate","1 HK dapat mengcover 500 meter"
"estate.activity_176","10165","Pengerasan Collection Road Mekanis (Sirtu)","estate.activity_165","product.product_uom_meter",75,,"normal","standard",1000,1000,1000,"estate","1 HK dapat mengcover 1000 meter"
"estate.activity_178","10166","Pemeliharaan Jembatan Kayu","estate.activity_165","product.product_uom_unit",75000,,"normal","standard",1,1,1,"estate","1 HK mengcover 1 unit"
"estate.activity_179","10167","Pemeliharaan Jembatan Beton","estate.activity_165","product.product_uom_unit",75000,,"normal","standard",1,1,1,"estate","1 HK mengcover 1 unit"
"estate.activity_180","10168","Pemeliharan Gorong-Gorong","estate.activity_165","product.product_uom_unit",150000,,"normal","standard",0.5,0.5,0.5,"estate","2 HK mengcover 1 unit"
"estate.activity_181","10169","Pembuatan/Rehab Tangga Panen","estate.activity_165","product.product_uom_meter",1500,,"normal","standard",50,50,50,"estate","1 HK dapat mengcover 50 meter"
"estate.activity_182","10170","Titi Panen Kayu","estate.activity_165","product.product_uom_unit",7500,,"normal","standard",10,10,10,"estate","1 HK dapat mengcover 10 unit"
"estate.activity_183","10171","Titi Panen Beton","estate.activity_165","product.product_uom_unit",7500,,"normal","standard",10,10,10,"estate","1 HK dapat mengcover 10 unit"
"estate.activity_184","10172","Pembuatan/Rehab Tph Panen","estate.activity_165","product.product_uom_unit",25000,,"normal","standard",3,3,3,"estate","1 HK dapat mengcover 3 unit"
"estate.activity_185","10173","Rempes Pokok/Tunas Pasar","estate.activity_165","product.product_uom_meter",166.666667,,"normal","standard",450,450,450,"estate","1 HK dapat mengcover 450 meter"
"estate.activity_186","10174","Survey dan Patok ","estate.activity_55",,,,"view",,,,,"estate",
"estate.activity_187","10175","Pemeliharaan Patok Batas Blok","estate.activity_186","product.product_uom_unit",3750,,"normal","standard",20,20,20,"estate","1 orang mengcover 20 patok (5 blok)"
"estate.activity_188","10176","Survey Topografi","estate.activity_186","estate.product_uom_hectare",2500,,"normal","standard",30,30,30,"estate","1 HK mengcover 30 Ha"
"estate.activity_189","10177","Survey Batas Blok","estate.activity_186","estate.product_uom_hectare",2500,,"normal","standard",30,30,30,"estate","1 HK mengcover 30 Ha"
